candidate_id,evidence_note,evidence_strength,job_relevance_score,skill_category,skill_name,supported_by_experience,supported_by_publications
1,Detected keyword 'python' in CV text.,partial,,Programming,python,True,False
1,Detected keyword 'c++' in CV text.,partial,,Programming,c++,True,False
1,Detected keyword 'c#' in CV text.,partial,,Programming,c#,True,False
1,Detected keyword 'sql' in CV text.,partial,,Programming,sql,True,False
1,Detected keyword 'pandas' in CV text.,partial,,Data / Analytics,pandas,True,False
1,Detected keyword 'numpy' in CV text.,partial,,Data / Analytics,numpy,True,False
1,Detected keyword 'tableau' in CV text.,partial,,Data / Analytics,tableau,True,False
1,Detected keyword 'nlp' in CV text.,partial,,AI / ML,nlp,True,False
1,Detected keyword 'computer vision' in CV text.,partial,,AI / ML,computer vision,True,False
1,Detected keyword 'ai' in CV text.,partial,,AI / ML,ai,True,False
1,Detected keyword 'react' in CV text.,partial,,Web / Software,react,True,False
1,Detected keyword 'node' in CV text.,partial,,Web / Software,node,True,False
1,Detected keyword 'api' in CV text.,partial,,Web / Software,api,True,False
